Movieid,MovieName,Genre_Main,BoxOffice,AvgPrice,AvgPeoPle,Area,ReleaseTime,defaultImage
716595,热辣滚烫,剧情,342487,48,22.0,['中国'],2024-02-10,https://images.endata.com.cn/group1/M00/00/5A/wKgATGWvJNuAASueAAv835oVRE806.jpeg
737452,飞驰人生2,剧情,336774,48,19.0,['中国'],2024-02-10,https://images.endata.com.cn/group1/M00/00/5A/wKgATGWvJfWADzRKABriKY2lzYA91.jpeg
746667,抓娃娃,喜剧,332980,41,14.0,['中国'],2024-07-16,https://images.endata.com.cn/group2/M00/24/CA/wKgAS2Zv5z2AC-bMAAf-28kAnrU408.jpg
735035,第二十条,剧情,243609,46,16.0,['中国'],2024-02-10,https://images.endata.com.cn/group1/M00/00/5A/wKgATGWvJziAIkLXABN11qIbDEU94.jpeg
739598,熊出没·逆转时空,动画,198949,46,22.0,['中国'],2024-02-10,https://images.endata.com.cn/group1/M00/43/E0/wKgASWWvJnOAWKxuABKvRblF10w00.jpeg
750265,默杀,剧情,135256,41,10.0,['中国'],2024-07-03,https://images.endata.com.cn/group2/M00/25/13/wKgASmZ6MYmAOm7gAAdObWkuJLk422.png
746957,志愿军:存亡之战,剧情,120840,41,10.0,['中国'],2024-09-30,https://images.endata.com.cn/group2/M00/28/42/wKgAS2cHbKyAPcawAAfMPiHxxT4811.jpg
711333,年会不能停！,剧情,105878,39,7.0,['中国'],2023-12-29,https://images.endata.com.cn/group2/M00/22/48/wKgASmWvcomAMAhnAAlKJM424Hw65.jpeg
745142,哥斯拉大战金刚2：帝国崛起,动作,95801,43,7.0,['美国'],2024-03-29,https://images.endata.com.cn/group1/M00/43/E0/wKgASWWvLaqAJz13AA48u1QXdNM73.jpeg
749395,你想活出怎样的人生,动画,79171,39,7.0,['日本'],2024-04-03,https://images.endata.com.cn/group1/M00/44/75/wKgASWX49qeAbpvPAAScsctdHJ4220.jpg
757111,异形：夺命舰,科幻,78723,41,7.0,['美国'],2024-08-16,https://images.endata.com.cn/group1/M00/47/76/wKgASWaeCAWAD0H2AAUmDyjXeYg593.jpg
746304,末路狂花钱,喜剧,78235,40,7.0,['中国'],2024-05-01,https://images.endata.com.cn/group2/M00/23/91/wKgASmY8PEGARbJGAAWJPqzMjTk990.jpg
736260,好东西,剧情,71366,42,6.0,['中国'],2024-11-22,https://images.endata.com.cn/group1/M00/06/50/wKgATGcI3e-AHGhOAAHyEJioV1E629.jpg
685456,九龙城寨之围城,动作,68570,41,7.0,['中国'],2024-05-01,https://images.endata.com.cn/group1/M00/01/1C/wKgATGYKh6uABbHUAAZ515E5VvE242.jpg
762414,毒液：最后一舞,动作,68533,41,6.0,['美国'],2024-10-23,https://images.endata.com.cn/group1/M00/48/E0/wKgASWbfs2KAC_wmAAf-TpwcWbE559.jpg
596852,周处除三害,动作,66611,39,7.0,['中国台湾'],2024-03-01,https://images.endata.com.cn/group2/M00/22/75/wKgASmW8xdKAOAj6AApVW1OYZec722.png
705021,维和防暴队,动作,51223,42,8.0,['中国'],2024-05-01,https://images.endata.com.cn/group2/M00/22/FB/wKgAS2YE1O-AEl0eAAfKqqJNtvk457.jpg
703810,云边有个小卖部,剧情,49933,41,6.0,['中国'],2024-06-22,https://images.endata.com.cn/group1/M00/46/0F/wKgASWZhdBeABdsnAAOfSDhwl_Q018.jpg
749723,重生,动作,46516,42,6.0,['中国'],2024-08-16,https://images.endata.com.cn/group2/M00/26/9C/wKgASma8FHuAeXrqAAifTYB6f5o759.jpg
653886,浴火之路,剧情,46259,39,8.0,['中国'],2024-10-01,https://images.endata.com.cn/group1/M00/05/27/wKgATGbWiimAOPCuAAg1KHWO9SM933.jpg
755071,死侍与金刚狼,喜剧,43111,43,9.0,['美国'],2024-07-26,https://images.endata.com.cn/group2/M00/24/CA/wKgASmZv_LeANWZkAAUXhGmgmc4780.jpg
741403,白蛇：浮生,动画,42574,41,7.0,['中国'],2024-08-10,https://images.endata.com.cn/group2/M00/27/8A/wKgASmbr31WAfBEPAAcvcSrif_M821.jpg
750950,神偷奶爸4,动画,42436,40,8.0,['美国'],2024-07-12,https://images.endata.com.cn/group2/M00/23/89/wKgASmY65SiARHCHABbBaDM6nL400.jpeg
700884,金手指,剧情,41713,40,6.0,"['中国', '中国香港']",2023-12-30,https://images.endata.com.cn/group2/M00/22/48/wKgAS2WvcrWAE889ABSL4JntjAw78.jpeg
643748,749局,科幻,37620,41,11.0,['中国'],2024-10-01,https://images.endata.com.cn/group2/M00/27/D5/wKgASmbzgSSARvpvAAGNhD-DWFU354.jpg
